"","genotype","DAP","variable","DAP.diffs","variable.AGR","variable.RGR","variable.smooth","variable.AGR.smooth","variable.RGR.smooth","Digital.biomass","col","row","line","rep"
"2341","S038",28,22342500,1,2334700,0.110368496749652,22056245.8370283,1368975.26101855,0.0637959155155601,22342500,6,3,"S038",NA
"2342","S038",29,26302500,1,3960000,0.163173297426896,23158374.7124722,1103171.07580935,0.0478163518413909,26302500,6,3,"S038",NA
"2343","S038",30,23171400,1,-3131100,-0.126745232120689,23946179.8169309,773403.041506979,0.0314760144478235,23171400,6,3,"S038",NA
"2344","S038",31,24636400,1,1465000,0.0613062645153848,24552503.4680743,587291.511773687,0.0224833394129804,24636400,6,3,"S038",NA
"2345","S038",32,23053200,1,-1583200,-0.066420435654741,25112036.4329882,545771.212306303,0.0202205958390622,23053200,6,3,"S038",NA
"2346","S038",33,25947300,1,2894100,0.118262969515677,25720861.9271759,606258.239503141,0.0225264527413576,25947300,6,3,"S038",NA
"2347","S038",34,28126100,1,2178800,0.0806304129149384,26352146.5491134,633034.373232081,0.0235486949857795,28126100,6,3,"S038",NA
"2348","S038",35,25386700,1,-2739400,-0.102472556031527,26988698.664226,639294.422523761,0.0235771909369004,25386700,6,3,"S038",NA
"2349","S038",36,27461000,1,2074300,0.0785414014433807,27702101.1279999,726773.674724225,0.0263441260793879,27461000,6,3,"S038",NA
"2350","S038",37,29668300,1,2207300,0.0773123194455409,28488261.0341976,812494.768017952,0.0287137523513935,29668300,6,3,"S038",NA
"2351","S038",38,29098400,1,-569900,-0.0193959458803027,29321605.291487,872771.266909652,0.0298365293024436,29098400,6,3,"S038",NA
"2352","S038",39,29448200,1,349800,0.0119495978383986,30242582.6397557,979214.243793459,0.0322921170440595,29448200,6,3,"S038",NA
"2353","S038",40,30496700,1,1048500,0.0349856933520015,31283758.6355588,1116421.58362766,0.0357277824230753,30496700,6,3,"S038",NA
"2354","S038",41,32165500,1,1668800,0.0532759685506601,32412801.0790141,1199074.21450658,0.0375111258419369,32165500,6,3,"S038",NA
"2355","S038",42,34216200,1,2050700,0.0618047665371083,33532448.4882609,1134365.65788827,0.0348788626981584,34216200,6,3,"S038",NA
